idDadosMaquina,percCpu,percRam,percDisco,momento,serialID
1,11.5,83.3,8.4,2022-09-20 13:43:53,AE:20:30:00:10
2,15.0,83.4,8.4,2022-09-20 13:43:53,AE:20:30:00:10
3,40.0,83.4,8.4,2022-09-20 13:43:54,AE:20:30:00:10
4,10.2,83.4,8.4,2022-09-20 13:43:54,AE:20:30:00:10
5,10.2,83.4,8.4,2022-09-20 13:43:54,AE:20:30:00:10
6,19.3,83.4,8.4,2022-09-20 13:43:55,AE:20:30:00:10
7,14.6,83.4,8.4,2022-09-20 13:43:55,AE:20:30:00:10
8,11.4,83.1,8.4,2022-09-20 13:43:55,AE:20:30:00:10
9,13.2,83.1,8.4,2022-09-20 13:43:55,AE:20:30:00:10
10,10.3,83.1,8.4,2022-09-20 13:43:56,AE:20:30:00:10
11,19.4,83.4,8.4,2022-09-20 13:43:56,AE:20:30:00:10
12,15.9,83.4,8.4,2022-09-20 13:43:56,AE:20:30:00:10
13,16.3,83.4,8.4,2022-09-20 13:43:56,AE:20:30:00:10
14,14.0,83.4,8.4,2022-09-20 13:43:56,AE:20:30:00:10
15,15.0,83.4,8.4,2022-09-20 13:43:57,AE:20:30:00:10
16,13.8,83.4,8.4,2022-09-20 13:43:57,AE:20:30:00:10
17,12.5,83.4,8.4,2022-09-20 13:43:57,AE:20:30:00:10
18,17.9,83.4,8.4,2022-09-20 13:43:57,AE:20:30:00:10
19,33.3,83.4,8.4,2022-09-20 13:43:58,AE:20:30:00:10
20,19.3,83.4,8.4,2022-09-20 13:43:58,AE:20:30:00:10
21,21.7,83.4,8.4,2022-09-20 13:43:58,AE:20:30:00:10
22,17.5,83.4,8.4,2022-09-20 13:43:58,AE:20:30:00:10
23,17.0,83.4,8.4,2022-09-20 13:43:58,AE:20:30:00:10
24,25.0,83.4,8.4,2022-09-20 13:43:59,AE:20:30:00:10
25,14.1,83.4,8.4,2022-09-20 13:43:59,AE:20:30:00:10
26,13.9,83.4,8.4,2022-09-20 13:43:59,AE:20:30:00:10
27,13.0,83.4,8.4,2022-09-20 13:43:59,AE:20:30:00:10
