proc_name,id,sec_name,num_sec,mem_use
SystemIdleProcess,0,Services,0,8
System,4,Services,0,11228
Registry,148,Services,0,55408
smss.exe,520,Services,0,244
csrss.exe,548,Services,0,2608
wininit.exe,1120,Services,0,1408
csrss.exe,1128,Console,1,3032
winlogon.exe,1220,Console,1,5156
services.exe,1240,Services,0,6960
lsass.exe,1284,Services,0,15340
svchost.exe,1408,Services,0,24332
fontdrvhost.exe,1436,Services,0,188
fontdrvhost.exe,1444,Console,1,4216
svchost.exe,1532,Services,0,15000
svchost.exe,1580,Services,0,3748
dwm.exe,1652,Console,1,40372
svchost.exe,1800,Services,0,2344
svchost.exe,1804,Services,0,6440
svchost.exe,1816,Services,0,3956
svchost.exe,1888,Services,0,5456
svchost.exe,1900,Services,0,4744
svchost.exe,1988,Services,0,9420
svchost.exe,2020,Services,0,5176
svchost.exe,1132,Services,0,2148
svchost.exe,1924,Services,0,2248
svchost.exe,2076,Services,0,11448
svchost.exe,2116,Services,0,6344
svchost.exe,2344,Services,0,7324
svchost.exe,2408,Services,0,2668
svchost.exe,2448,Services,0,4028
svchost.exe,2520,Services,0,1684
atiesrxx.exe,2540,Services,0,1804
svchost.exe,2624,Services,0,8848
svchost.exe,2748,Services,0,1776
svchost.exe,2776,Services,0,6476
svchost.exe,2792,Services,0,15920
svchost.exe,2812,Services,0,6348
svchost.exe,2820,Services,0,1828
svchost.exe,2832,Services,0,4084
atieclxx.exe,2848,Console,1,5416
svchost.exe,3004,Services,0,5060
MemoryCompression,3012,Services,0,211756
svchost.exe,2228,Services,0,3596
svchost.exe,2180,Services,0,6128
svchost.exe,3212,Services,0,8788
svchost.exe,3368,Services,0,5072
svchost.exe,3376,Services,0,4812
svchost.exe,3384,Services,0,2900
svchost.exe,3536,Services,0,3936
svchost.exe,3644,Services,0,9720
sihost.exe,3704,Console,1,21420
svchost.exe,3724,Console,1,22008
svchost.exe,3732,Console,1,3660
svchost.exe,3768,Services,0,7108
spoolsv.exe,3864,Services,0,9424
svchost.exe,3900,Services,0,8936
svchost.exe,3952,Services,0,2852
svchost.exe,4100,Console,1,28136
taskhostw.exe,4208,Console,1,15956
svchost.exe,4316,Services,0,26852
svchost.exe,4324,Services,0,15176
svchost.exe,4332,Services,0,23180
DAX3API.exe,4344,Services,0,3784
LenovoUtilityService.exe,4364,Services,0,2996
LNBITSSvc.exe,4372,Services,0,8784
svchost.exe,4384,Services,0,11848
ElevocControlService.exe,4392,Services,0,1764
mysqld.exe,4484,Services,0,1832
svchost.exe,4496,Services,0,4112
svchost.exe,4580,Services,0,1512
RtkBtManServ.exe,4624,Services,0,3428
svchost.exe,4684,Services,0,1676
svchost.exe,4696,Services,0,15040
RtkAudUService64.exe,4708,Services,0,3232
svchost.exe,4736,Services,0,18424
svchost.exe,4876,Services,0,1424
svchost.exe,4908,Services,0,5976
svchost.exe,4192,Services,0,2652
svchost.exe,5124,Services,0,5260
ctfmon.exe,5232,Console,1,12100
mysqld.exe,5676,Services,0,18624
conhost.exe,5696,Services,0,1600
WmiPrvSE.exe,6104,Services,0,6784
explorer.exe,6132,Console,1,137644
DAX3API.exe,4692,Console,1,2256
svchost.exe,6268,Services,0,13624
svchost.exe,6292,Services,0,3716
svchost.exe,6396,Services,0,6560
AutoModeDetect.exe,6644,Console,1,6100
conhost.exe,6656,Console,1,1972
svchost.exe,6948,Services,0,4404
svchost.exe,7224,Console,1,15948
svchost.exe,7336,Services,0,1496
svchost.exe,7528,Services,0,6340
svchost.exe,7732,Services,0,6364
StartMenuExperienceHost.e,2716,Console,1,56492
RuntimeBroker.exe,8268,Console,1,16732
SearchApp.exe,8476,Console,1,279888
RuntimeBroker.exe,8884,Console,1,32156
dllhost.exe,9824,Console,1,8136
GoogleCrashHandler.exe,10216,Services,0,1108
unsecapp.exe,10228,Services,0,4732
GoogleCrashHandler64.exe,9220,Services,0,80
PhoneExperienceHost.exe,9360,Console,1,35828
FnHotkeyUtility.exe,6128,Console,1,7204
unsecapp.exe,9952,Console,1,2972
RuntimeBroker.exe,9296,Console,1,3412
TextInputHost.exe,10816,Console,1,12668
ShellExperienceHost.exe,10660,Console,1,42492
RuntimeBroker.exe,10656,Console,1,22280
SecurityHealthSystray.exe,10652,Console,1,3716
SecurityHealthService.exe,10976,Services,0,10656
RtkAudUService64.exe,11368,Console,1,3596
svchost.exe,11352,Services,0,3776
RadeonSoftware.exe,11632,Console,1,13684
Lightshot.exe,11936,Console,1,16708
jusched.exe,12344,Console,1,4452
AMDRSServ.exe,12352,Console,1,4892
svchost.exe,13084,Services,0,12076
svchost.exe,13212,Services,0,12484
RuntimeBroker.exe,12516,Console,1,16932
svchost.exe,8276,Console,1,9668
LockApp.exe,9900,Console,1,26892
RuntimeBroker.exe,5168,Console,1,24584
UserOOBEBroker.exe,4228,Console,1,4520
svchost.exe,3872,Services,0,15060
SgrmBroker.exe,8620,Services,0,5528
svchost.exe,7556,Services,0,3152
svchost.exe,11716,Services,0,6432
svchost.exe,7596,Services,0,3816
SearchApp.exe,1524,Console,1,28420
jucheck.exe,5060,Console,1,4468
taskhostw.exe,8640,Console,1,16516
dllhost.exe,5880,Console,1,6040
svchost.exe,13524,Services,0,4132
svchost.exe,1296,Services,0,6856
svchost.exe,7368,Services,0,6880
gamingservices.exe,932,Services,0,20248
gamingservicesnet.exe,11596,Services,0,924
svchost.exe,6896,Services,0,17196
MusNotifyIcon.exe,6872,Console,1,560
taskhostw.exe,12096,Console,1,15548
dllhost.exe,14636,Services,0,5132
svchost.exe,11536,Services,0,2856
Microsoft.Photos.exe,2508,Console,1,1504
RuntimeBroker.exe,12104,Console,1,16164
MoUsoCoreWorker.exe,13580,Services,0,18724
ApplicationFrameHost.exe,1228,Console,1,8184
svchost.exe,8040,Services,0,4632
svchost.exe,5592,Services,0,2404
svchost.exe,9120,Services,0,3572
svchost.exe,12136,Console,1,2240
SystemSettings.exe,5332,Console,1,60
OneDrive.exe,12724,Console,1,67500
MsMpEng.exe,12248,Services,0,131312
NisSrv.exe,1868,Services,0,11016
OfficeClickToRun.exe,328,Services,0,43968
AppVShNotify.exe,14692,Console,1,7476
SearchIndexer.exe,15048,Services,0,37532
svchost.exe,15076,Services,0,5504
chrome.exe,13508,Console,1,181888
chrome.exe,6248,Console,1,7760
chrome.exe,4604,Console,1,161104
chrome.exe,7636,Console,1,40116
chrome.exe,14524,Console,1,19276
chrome.exe,12396,Console,1,67008
chrome.exe,14752,Console,1,103228
chrome.exe,13180,Console,1,100300
chrome.exe,8584,Console,1,73192
chrome.exe,5904,Console,1,54356
chrome.exe,12004,Console,1,20488
chrome.exe,13456,Console,1,70964
chrome.exe,7180,Console,1,85060
chrome.exe,280,Console,1,155316
chrome.exe,13352,Console,1,160524
chrome.exe,10072,Console,1,31836
svchost.exe,7448,Services,0,11656
smartscreen.exe,14632,Console,1,24260
cmd.exe,7768,Console,1,5564
conhost.exe,15532,Console,1,23028
audiodg.exe,13656,Services,0,17828
tasklist.exe,4448,Console,1,9280
WmiPrvSE.exe,11512,Services,0,9692
